Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,115.820000,-74.770000,0.000000,bottom
C2,0.1uF,C_0603_1608Metric,115.820000,-72.850000,180.000000,bottom
C3,0.1uF,C_0603_1608Metric,112.670000,-56.736000,0.000000,bottom
C4,0.1uF,C_0603_1608Metric,112.670000,-58.260000,180.000000,bottom
C5,22pF,C_0603_1608Metric,101.750000,-81.150000,270.000000,bottom
C6,22pF,C_0603_1608Metric,95.750000,-81.150000,270.000000,bottom
C7,22pF,C_0603_1608Metric,119.782000,-54.958000,315.000000,bottom
C8,22pF,C_0603_1608Metric,115.845000,-55.466000,45.000000,bottom
C9,0.1uF,C_0603_1608Metric,119.274000,-71.468000,0.000000,bottom
C10,0.1uF,C_0603_1608Metric,159.393000,-62.070000,0.000000,bottom
C11,0.1uF,C_0603_1608Metric,103.399000,-81.150000,90.000000,bottom
D2,5819,D_SOD-123,93.520000,-75.850000,180.000000,bottom
J1,USB_B_Micro,MolexVertical&Horizontal_MicroB,87.920000,-67.150000,90.000000,bottom
R1,10K,R_0805_2012Metric,119.520000,-75.650000,90.000000,bottom
R3,1K,R_0805_2012Metric,105.320000,-81.150000,90.000000,bottom
R4,1K,R_0805_2012Metric,107.220000,-81.150000,270.000000,bottom
U4,ATmega328P-AU,TQFP-32_7x7mm_P0.8mm,115.220000,-65.350000,270.000000,bottom
U5,CH340G,SOIC-16_3.9x9.9mm_P1.27mm,103.420000,-75.350000,180.000000,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,98.750000,-81.150000,180.000000,bottom
Y2,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,117.820000,-57.250000,225.000000,bottom
